country_name,iso_code,year,v2psbars_osp,v2exrescon_osp,v2exbribe_osp,v2lgotovst_osp,v2dlcountr_osp,v2juhcind_osp,v2jucorrdc_osp,v2jucomp_osp,v2clrspct_osp,v2clacjstw_osp,v2pepwrgen_osp,v2stcritrecadm_osp,v2cseeorgs_osp,v2csantimv_osp,v2csrlgcon_osp,v2mecenefi_osp,v2mebias_osp,v2mecorrpt_osp,v2pepwrort_osp,v2pepwrses_osp,v2pehealth_osp,v2cacamps_osp,v2caviol_osp,v2caautmob_osp,v2capolit_osp,v2cacritic_osp,v2smgovcapsec_osp,v2smpardom_osp,v2smfordom_osp,v2smpolsoc_osp,GDPPC
Iraq,IRQ,2024,2.914,1.744,0.433,1.925,1.494,1.443,1.393,1.431,1.25,1.376,1.16,1.218,2.749,2.162,1.882,2.102,1.951,1.946,0.243,1.593,1.587,3.486,3.539,1.512,1.854,1.911,1.602,1.474,1.478,0.409,12725.0431260393
Ireland,IRL,2024,3.835,3.57,3.731,2.922,2.868,3.576,3.344,3.443,3.587,3.741,2.409,2.944,3.606,0.708,1.274,2.968,3.812,3.748,2.592,2.818,2.939,0.41,0.92,0.252,2.283,3.468,1.912,3.399,3.012,1.849,119037.731175443
Italy,ITA,2024,3.951,3.001,2.861,3.396,2.322,2.597,2.92,2.8,2.893,3.746,2.777,2.394,3.239,0.612,0.867,2.969,2.881,3.656,2.238,3.02,3.171,2.935,0.758,0.189,1.765,2.863,2.515,2.321,2.992,0.68,53265.0032474189
Jordan,JOR,2024,3.409,2.295,2.427,2.817,3.487,2.099,2.636,3.351,2.489,2.726,0.758,2.104,1.744,1.204,1.465,2.026,3.079,1.75,0.258,2.088,2.797,1.434,1.224,1.082,1.635,0.933,2.634,2.957,3.029,2.392,9520.25064497454
Latvia,LVA,2024,3.798,3.396,3.783,3.285,2.735,3.868,3.162,3.183,3.91,3.806,2.885,2.998,3.525,0.715,0.928,2.948,3.596,3.7,2.407,2.857,2.978,1.151,0.158,0.079,1.506,3.46,3.371,2.599,0.25,1.846,37611.6699359404
Lesotho,LSO,2024,3.829,2.689,2.741,2.961,2.372,3.319,2.288,2.75,1.987,2.653,2.589,1.68,3.811,0.646,1.471,2.924,3.154,2.938,1.351,2.519,2.53,1.841,1.408,0.946,1.931,2.513,1.546,2.231,3.324,1.076,2640.28544552536
Liberia,LBR,2024,3.877,1.728,0.682,1.974,3.872,2.892,1.056,1.926,1.911,2.639,2.51,1.587,2.906,1.517,1.309,2.575,3.577,2.532,0.517,2.61,0.874,3.561,1.378,1.055,1.594,1.434,0.386,2.974,3.52,2.004,1646.05861366601
Malawi,MWI,2024,3.896,2.595,1.829,3.315,2.723,2.924,1.865,3.169,2.743,2.31,1.819,1.848,2.096,1.377,1.954,2.745,2.958,3.164,0.067,2.047,0.766,2.42,1.492,0.473,1.319,2.887,1.401,2.0,3.798,2.209,1634.24660266597
Maldives,MDV,2024,3.524,2.675,2.007,2.171,2.321,2.92,2.192,3.005,1.907,1.974,1.518,2.673,2.249,2.27,1.047,2.089,3.107,3.187,0.178,1.457,1.831,2.937,0.639,0.252,1.32,2.071,1.755,1.836,2.981,1.215,23034.4098404839
Mongolia,MNG,2024,3.07,2.496,1.532,2.571,2.708,2.281,2.342,2.504,2.642,2.496,1.972,0.989,2.9,0.842,0.87,2.374,2.76,2.162,1.299,1.671,2.096,2.174,0.872,0.174,1.411,2.637,1.996,2.0,1.838,2.638,16842.6505873797
Morocco,MAR,2024,3.359,1.924,1.423,2.388,3.371,3.586,2.057,2.292,1.674,3.002,1.521,2.208,1.689,1.79,0.941,2.624,2.618,2.403,0.088,1.378,1.935,1.591,1.131,2.456,1.455,2.578,3.017,2.868,2.974,2.373,9162.7470703125
Netherlands,NLD,2024,3.872,2.834,3.6,3.221,3.371,3.279,3.869,3.431,3.265,3.436,3.193,2.982,3.099,1.269,0.946,2.969,3.679,3.823,2.823,3.204,3.576,2.22,1.281,0.279,1.895,3.793,2.773,2.712,2.802,1.2,70498.8840396071
Panama,PAN,2024,3.904,2.431,1.912,2.848,2.385,2.559,2.413,2.727,2.813,2.939,1.868,1.973,3.111,0.793,1.296,2.883,2.801,3.31,1.26,1.145,2.247,1.325,0.98,0.188,1.993,3.686,2.124,1.332,2.793,1.324,36394.9175291147
